username,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
throwawayA0K,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MrCapitalismWildRide,-0.9999999976985335,6.784491736807297e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ericoahu,0.9999999926083499,-4.614935590043671e-05,0.00011248794155809245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jaysank,-0.9999999914133577,4.558983357908081e-05,-0.0001034938157415393,6.621088641645202e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
586230,-0.9999999972045263,2.8315575209887817e-05,-2.1536036252062162e-05,1.2731069372109574e-05,6.452359721806132e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Huntingmoa,-0.9999999995771103,5.098820613130034e-06,-5.990942747323879e-06,2.2096529540647125e-06,2.3920204118789307e-06,2.7808014271593746e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bluezephr,-0.9999999997554082,1.2839165218684714e-06,2.3527397685659127e-06,-2.127481452871463e-06,6.280015637662934e-07,1.7287339001180006e-08,2.1842134073688504e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WF187,-0.9999999974849089,1.1723689592651895e-05,-4.989508978312953e-06,3.273953731136064e-06,-3.4140379822525308e-06,4.676197252619882e-06,-7.59188229495245e-07,6.944799798614113e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TheVioletBarry,-0.9999999983426457,1.0717292345697869e-05,2.3023835364624505e-06,-4.7329091121018244e-06,2.8321239352966933e-06,2.534012485923545e-06,-2.1315368453873892e-06,1.4710103802201008e-06,5.6133744226697385e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stink3rbelle,-0.9999999983426456,1.0717293982110835e-05,2.3023835364624505e-06,-4.7329091121018244e-06,2.8321239352966933e-06,2.534008493466501e-06,-2.1315317624453065e-06,1.4710103802201008e-06,1.8778309274743242e-06,5.610232769308304e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Big_Pete_,-0.9999999995583384,5.36980732748396e-06,-6.438624761245082e-06,2.4159712485514173e-06,2.5203961274552345e-06,3.2396553137352217e-06,-5.7889627381637286e-08,1.766961687442516e-06,1.1721238824575026e-06,1.133548066337973e-06,2.801005717975784e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
huadpe,-0.9999999983426455,1.0717295618523802e-05,2.3023845234331507e-06,-4.732907435303515e-06,2.8321256559432046e-06,2.5340164783805893e-06,-2.1315317624453065e-06,1.4710119788594522e-06,1.8778309274743242e-06,1.8160278691176766e-06,2.1969330576042793e-06,5.602987500927316e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ThomasEdmund84,-0.999999999267145,8.260629016810344e-06,-8.38927474354568e-06,2.3247387968518467e-06,4.239466526748027e-06,5.296533166684398e-06,-1.1160789644680847e-06,2.6495425904715046e-06,1.5413171443584952e-06,1.4905919916676367e-06,4.824420025596793e-06,1.2550430809908744e-06,3.51844815837144e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BlockNotDo,-0.9999999972045265,2.831557030064892e-05,-2.153603568506903e-05,1.2731070399306653e-05,-2.270055825204466e-06,5.745522059158853e-06,1.915877842575874e-06,-3.649475267441914e-06,3.278964322069773e-06,3.1710505126456602e-06,5.314312600543202e-06,2.8639972841147106e-06,6.409986088707196e-06,6.332299329658385e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DCarrier,-0.9999999983426455,1.0717295618523802e-05,2.3023848518862976e-06,-4.73290620643992e-06,2.8321239352966933e-06,2.5340154575151636e-06,-2.1315245528553664e-06,1.4710126172791904e-06,1.8778309274743242e-06,1.8160305855992215e-06,2.1969285313818263e-06,1.6733784780053306e-06,1.938916252312097e-06,2.262185836748942e-06,5.5925574821103975e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MoralSatire,-0.9999999992866094,8.094626376294122e-06,-1.0183763539868974e-05,3.798774142677042e-06,4.062537607910292e-06,5.8232460675857274e-06,-5.852277270051644e-07,2.798851454593996e-06,2.142379842522795e-06,2.0718688287500147e-06,5.252294419786709e-06,1.801458351362617e-06,6.036395348395248e-06,2.5878432099437158e-06,1.4369570016802004e-06,3.316042081335708e-05,0.0,0.0,0.0,0.0,0.0,0.0
GnosticGnome,-0.9999999989743994,1.020402814606661e-05,4.958028694075049e-06,-6.015894077026391e-06,3.0299604298956324e-06,3.918617657056038e-06,-6.014580548051217e-06,-3.6023191298114266e-07,-1.2331415305844214e-06,-1.1925608930111005e-06,3.920752398174023e-06,-1.3091788388573255e-06,3.426151088603268e-06,2.5086113968437933e-06,-1.4927067944919108e-06,3.7548831521218378e-06,4.208416241718739e-05,0.0,0.0,0.0,0.0,0.0
Iswallowedafly,-0.9999999983426457,1.0717292345697869e-05,2.3023835091751893e-06,-4.732909405299243e-06,2.8321239352966933e-06,2.5340114650581194e-06,-2.131534715579632e-06,1.4710111763707504e-06,1.8778269718392959e-06,1.8160267601502617e-06,2.196932815383328e-06,1.6733746036234286e-06,1.9389130968782963e-06,2.2621861561635132e-06,1.4677011678046633e-06,2.3598473156212818e-06,-2.1421524102531912e-06,5.58153899366053e-05,0.0,0.0,0.0,0.0
figsbar,-0.9999999972045266,2.8315575209887817e-05,-2.153603663191447e-05,1.273106721581613e-05,-2.270055825204466e-06,5.745530044072941e-06,1.915882919198157e-06,-3.649475749600111e-06,3.278966299887287e-06,3.171050446445075e-06,5.31432044777457e-06,2.863996912284026e-06,6.409992399574799e-06,-4.737066260793279e-06,2.7530267155510193e-06,5.19211242315278e-06,3.6914154588657967e-06,2.6082230170326047e-06,6.270880707169951e-05,0.0,0.0,0.0
BlowItUpForScience,-0.9999999972045265,2.8315571937061885e-05,-2.1536037974625575e-05,1.2731069047351738e-05,-2.270054104557954e-06,5.745529896064474e-06,1.9158879527856295e-06,-3.649477198661216e-06,3.278968277704801e-06,3.1710523591695553e-06,5.314312360286003e-06,2.8640010640817595e-06,6.409986088707196e-06,-4.7370656219641366e-06,2.7530229381466372e-06,5.192113685792663e-06,3.6914130498238384e-06,2.608225152954336e-06,-6.017841722676501e-06,6.241939023786553e-05,0.0,0.0
Quantum_Queen,-0.9999999972045266,2.8315571937061885e-05,-2.1536036987654877e-05,1.2731070590079366e-05,-2.2700592664974886e-06,5.745530340089877e-06,1.9158830179073792e-06,-3.649479134904389e-06,3.278966299887287e-06,3.17105242537014e-06,5.314320367688812e-06,2.864000814251768e-06,6.409986088707196e-06,-4.737069128504073e-06,2.7530290355243305e-06,5.192110347186163e-06,3.691416411100737e-06,2.6082234157987624e-06,-6.017847415759176e-06,-6.625927017206295e-06,6.206671345708174e-05,0.0
throwawayAOK,-1.2671957570696011e-14,8.755298670839523e-11,4.010708258727099e-11,-2.445610733419124e-11,-5.58053361013967e-12,1.918324297527432e-12,-8.955648482002735e-12,-6.442443923059837e-11,-1.7602435205174596e-11,-2.4989931376167716e-11,4.541237152971659e-13,-2.266151006550933e-11,2.215094522030447e-12,-9.925978478959167e-12,-2.367987205699676e-11,4.888205268330025e-12,-2.7908888630910543e-11,-1.8125529734622233e-11,-7.574000740534093e-13,-2.47316366410963e-12,-1.118882346956781e-11,0.9999999999999999
