tree_id,username,label,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
6gzcnf,GivenToFly164,0.0,4.947939191126285e-07,-4.1508369441368024e-07,8.10569906650116e-09,2.0350557306890283e-08,7.466076514010731e-08,-6.434079176056086e-09,2.3244174264675398e-06,3.635308676750822e-05,-7.533912182041697e-08,-1.8004329371079664e-07,-1.7996446814077906e-07,-1.1404495875103185e-07,-1.7978462134299262e-07,-1.1376672875489554e-07,-1.0224160432527852e-07,-2.5441996295306484e-07,1.893012528159084e-07,1.7005994878169357e-07,-1.7198659147816065e-07,1.4889197341727502e-07,-1.9852600270984672e-07,-2.0259564361239182e-07,-1.7162099023483289e-07,1.7051161552522056e-07,2.2999633027517763e-07,0.00011618416589493269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6gzcnf,almightySapling,1.0,-3.2362784687454555e-07,1.884116482385916e-07,2.057522178795021e-08,1.4487077927685589e-08,-2.804356008549616e-08,5.051914842375234e-09,-1.6500859797886992e-06,-3.110769702872665e-05,3.691858601088562e-08,1.452543596319785e-07,1.4518933503944322e-07,7.931158627896835e-08,1.4505626972810324e-07,7.909995681610278e-08,5.154125624671296e-08,2.184685729384081e-07,-7.27026398621836e-08,-2.0576937349509692e-07,1.5997062749642507e-07,-1.1104281543839347e-07,1.7047056383646634e-07,1.616552636129109e-07,1.2662287878769926e-07,-7.168508808153776e-08,-1.1108530719174712e-07,-9.95336604884869e-05,-1.796636625490021e-08,8.199568428961903e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6gzcnf,AdminsAreComplicit,0.0,-4.372429832953557e-07,8.058473285260382e-07,-1.4168900613221172e-07,-1.6628387603258706e-07,-1.9870666969352683e-07,2.041383261040791e-08,-1.5672151075232134e-06,2.037743438730799e-05,1.2603465367785534e-07,5.0857463696951867e-08,5.0833807125972386e-08,8.746150522940814e-08,5.0730187382852104e-08,8.732760691894398e-08,2.144222299137084e-07,4.842480763113024e-08,-4.64248234612582e-07,3.0421155713526076e-07,-6.162164803456866e-08,-1.022636549252315e-07,2.847387520721379e-08,7.878977291021098e-08,1.186432017932591e-07,-3.9549633888816547e-07,-4.715958797857073e-07,6.621213963634965e-05,1.5351566346402837e-07,-5.481146415983255e-05,2.7159885212154705e-07,-1.4245158196472047e-07,-4.7327346768169527e-07,0.00010255127613453768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6gzcnf,sysiphean,0.0,7.212440346841591e-07,-1.38340889696697e-06,2.5261566779826725e-07,2.981416513082795e-07,3.889207372299628e-07,-7.173679624560717e-08,2.979061254966128e-06,-2.020890919792817e-05,-1.5017213837109382e-07,-6.04312674704242e-08,-6.040421122702634e-08,-1.0817917336892021e-07,-6.027944155693682e-08,-1.080167019273801e-07,-3.6593486669572985e-07,-1.0708963383748988e-07,6.786454030712938e-07,-4.5058632819852095e-07,1.2160025136977362e-07,1.6503615982246252e-07,-4.8041828262541084e-08,-1.0329558754026558e-07,-1.6267789225209651e-07,5.661443687118357e-07,7.003939955252776e-07,-6.618058290308354e-05,-2.00408110542385e-07,5.490068170792706e-05,-3.748293174994089e-07,2.767870285665544e-07,9.296458371779593e-07,-0.0001028820616509509,1.0263823219197543e-07,1.7451037987098446e-07,6.643741913934867e-08,1.7432060337646912e-07,1.74170619514664e-07,-8.810640192987907e-05,8.897376055185346e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6gzcnf,IrishCreamPied,0.0,1.2185883430972051e-06,-1.6697597894067459e-06,1.1399330620416553e-07,1.4960963426446602e-07,1.8450537418653103e-07,4.967210672464827e-08,4.889987503325264e-06,2.1642973785258606e-05,-3.8035550611889855e-07,-7.162036550508951e-07,-7.158830339410683e-07,-4.897335314675208e-07,-7.151291358670145e-07,-4.88593331874681e-07,-6.453400421425602e-07,-9.365725325160829e-07,9.156154099900743e-07,2.8026549405423697e-07,-3.0780791279623797e-07,3.6568634697811063e-07,-7.884660000019328e-07,-4.909692235549735e-07,-3.9792040763567636e-07,7.236428110693712e-07,9.112374138388136e-07,6.674286844805165e-05,-3.000175935751468e-07,-5.477483087298686e-05,-6.055698873200364e-07,-1.0789867770514226e-07,3.6232580693527993e-07,0.00010192570339948236,-4.135835200040221e-07,-4.790117065105052e-07,-4.1677280816665846e-07,-4.783610667833893e-07,-4.779478858138722e-07,0.0003543540301429632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6gzcnf,TheLegumeTroubadour,1.0,1.3157065617097138e-07,-3.451276591286401e-07,1.1728167010449848e-07,1.2879521374243072e-07,1.5833516529332765e-07,-3.703140487943634e-08,5.510188572174654e-07,-2.071059131080556e-05,2.4277209085642325e-09,2.081475569799291e-07,2.0805437894465565e-07,8.962152835686664e-08,2.0788408605491122e-07,8.934231402055664e-08,-4.488772822013447e-08,2.3489449849027052e-07,2.2610370303785968e-07,-3.582821875479937e-07,1.691104804255784e-07,1.2627025250298215e-08,2.3673415135179e-07,7.856909870737538e-08,6.042497592695754e-09,1.798103149516391e-07,2.134373072469779e-07,-6.647218312715447e-05,-4.156064568977384e-08,5.4973129919736655e-05,-4.361738457493496e-08,2.3105567301886052e-07,3.756321300547864e-07,-0.00010279629698097898,2.5616506846072986e-07,3.561435939998382e-07,2.146980785139949e-07,3.557149777848295e-07,3.554079690174215e-07,-0.00017693747909794925,5.34700574229651e-07,0.00012544555260753882,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6gzcnf,KestrelLowing,0.0,-7.940702550809803e-07,1.0328875321455306e-06,-1.218352283080326e-07,-1.5286111140924965e-07,-2.4190921960170605e-07,3.6448047035760045e-08,-3.2433105687952663e-06,-9.32235404877047e-05,9.790939445977844e-08,1.3102773162389012e-07,1.3096907401463913e-07,1.0972491249611484e-07,1.3081437103360883e-07,1.0949705949911246e-07,9.131563272638141e-08,1.4502104091847845e-07,-1.7895751095930516e-07,-3.281907412878571e-08,6.887815475310363e-08,-9.53064672311513e-08,1.0929141403880932e-07,1.1360867615653686e-07,1.0459501814680134e-07,-1.6792224686933096e-07,-2.128718662188148e-07,-2.908402348576061e-05,8.855140344486379e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6gzcnf,antisocialmedic,0.0,6.476051955496999e-07,-9.325294279192316e-07,1.2524688761300235e-07,1.5356355819011945e-07,2.313277780301689e-07,-3.9963576289917405e-08,2.5990734174892325e-06,0.00011206437966034482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6gzcnf,feraxil,1.0,-1.312374500270721e-05,2.5655983591823025e-05,-4.696644708199257e-06,-5.763553663842704e-06,-8.10024358642851e-06,2.0935962838117662e-06,-0.00039360925192544384,-6.367741127588271e-07,2.2199721757967366e-07,1.6167588416366326e-07,1.6160350351603705e-07,1.8486939669982372e-07,1.613667921061543e-07,1.845357264296618e-07,2.739945864594996e-05,2.2004907436607866e-07,-7.029812754217255e-05,2.060862766804419e-07,-8.198363898344653e-08,-7.5029815955044e-08,2.110395943327137e-08,3.209039772983287e-08,6.414511557143962e-08,-3.196136952378245e-07,-3.8610246989194973e-07,-2.7255510950508855e-07,1.0243254926739607e-07,-6.838899943178298e-10,9.254587077888184e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6gzcnf,ChocPineapple,0.0,1.843284831768364e-05,-3.66308162066929e-05,6.784333943584605e-06,8.328643628591386e-06,1.1723753757540345e-05,-3.093844409337467e-06,0.0005292669376913846,1.4926288912391362e-06,-4.2416038634100925e-07,-2.6489098386041994e-07,-2.6477150654890516e-07,-3.3939567106824534e-07,-2.6435179525726964e-07,-3.3881012135203946e-07,-3.685863675809527e-05,-3.54291346421086e-07,9.426612540967296e-05,-8.188977339841481e-07,3.4925824002581017e-07,2.337444837093541e-07,-7.982731949560198e-08,-6.498330270119545e-08,-1.7599529506298266e-07,1.0104081935420266e-06,1.2686515255770188e-06,8.734260055598786e-07,-3.1969490476921394e-07,-2.576869116074893e-08,-0.00012378464911623336,4.982233638564455e-07,0.00010329273464301514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6gzcnf,joijoijawer,0.0,9.79488534646365e-06,-1.8984078223188065e-05,3.4412899484920782e-06,4.220278086271797e-06,5.926755998676624e-06,-1.5085186253762194e-06,0.00028731202209421184,6.355268200934505e-07,-2.2187511603990602e-07,-2.229404554162272e-07,-2.2284064947545548e-07,-2.1112063540497813e-07,-2.2255068098221932e-07,-2.1070690893494143e-07,-5.006726866302394e-05,-3.0871782595794807e-07,0.00012843227066753777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6gzcnf,ACrusaderA,0.0,-2.5065868781561792e-06,4.987788420390913e-06,-9.088694154540852e-07,-1.1112912066743252e-06,-1.5546500881920888e-06,3.9542348451178616e-07,-7.211697760911474e-05,-2.1255095487359066e-07,5.6649652157574726e-08,6.434298436138702e-08,6.431417950202362e-08,6.033271795244812e-08,6.423142529877702e-08,6.021482062669033e-08,9.503888556169847e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6gzcnf,xXSJADOo,0.0,3.33376025579451e-07,-4.046868252996128e-07,6.461223956970988e-08,7.868379566270521e-08,1.0080058784156543e-07,-7.860350514704404e-09,-1.5424487671285558e-08,1.9191167918035235e-07,-1.0751869660803149e-07,2.459305297493797e-09,2.4582072293661284e-09,-5.408958668446009e-08,2.5024272520764702e-09,-5.403729053446895e-08,4.672973939753545e-08,-3.167402774709889e-09,1.0230962372826797e-07,6.461758651747202e-05,-4.725147296760493e-05,0.00012522186344988935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6gzcnf,RiPont,1.0,3.570653225476491e-08,-1.2156302039207414e-07,3.4324022726936548e-09,8.30873919594457e-09,4.1503650019797694e-08,-2.4435508661536275e-08,1.9904234560396653e-06,4.515615543118149e-08,4.2492786472227386e-08,-1.4525610419865492e-07,-1.4519108092890661e-07,-4.384483392903879e-08,-1.4508774596336886e-07,-4.367350502365925e-08,-2.5181651831479816e-07,-2.0085337572502888e-07,1.9608643270559907e-07,-0.0001295171423461159,9.45957579609006e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6gzcnf,5iMbA,0.0,-1.1561043462614329e-07,2.1551766719229807e-07,-2.2391382331637236e-08,-3.11489027072559e-08,-6.619140237800456e-08,2.4128909447560306e-08,-1.47622817467047e-06,-7.051414038985901e-08,-5.3391475295066844e-09,1.1193674572625487e-07,1.1188663699784737e-07,4.890828918835679e-08,1.1178981297708905e-07,4.8762514285212764e-08,1.778483884023588e-07,1.512866199576974e-07,-1.677849266225746e-07,0.00011349515563408515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6gzcnf,walrussingsatmidnite,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6gzcnf,infinitepaths,,0.00010260377380868891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6gzcnf,FetusFondler,,-1.7344865443122288e-06,0.00017805427128260928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6gzcnf,nickburgess,,1.852770721815475e-06,-0.00017810426472619656,0.00010221840280792664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6gzcnf,thingscouldbeworse,,1.9201488259086885e-06,-0.00017813459201185096,5.262834791040218e-08,0.00012517626380383805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6gzcnf,marojelly,,2.1453740621047114e-06,-0.00017830846666214817,8.758321574242105e-08,1.0787347496220686e-07,0.0001770393911432315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6gzcnf,howdoireachthese,,-2.1739899277979e-06,0.00017829620306055574,-1.0220141684707697e-07,-1.2858323800931466e-07,-0.00017700444759367526,8.85320850468551e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6gzcnf,TriggerTX,,1.3434963912586765e-05,-2.631820031242806e-05,4.822106726098828e-06,5.917476427773042e-06,8.322046947034668e-06,-2.158342866214583e-06,0.0004314609753190183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6gzcnf,theLaugher,,-7.891220453776245e-07,1.0772633714633095e-06,-1.3669033562835677e-07,-1.685233686104863e-07,-2.547884063717161e-07,3.761727745602649e-08,-3.0911818900762807e-06,-0.00011209794362238636,6.694253253563648e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6gzcnf,FlashVortex0,,-9.746479888103797e-07,1.4608002159561588e-06,-2.0078602637722816e-07,-2.467557180465972e-07,-3.611974785397621e-07,5.873020485708866e-08,-3.3750070654696086e-06,-0.0001122055258345536,1.5542866019661135e-07,0.00012520655493007736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6gzcnf,adurango,,-9.746512349571342e-07,1.4608002159561588e-06,-2.0078602637722816e-07,-2.4675394419108986e-07,-3.611968514346769e-07,5.873145889174067e-08,-3.3750068081524727e-06,-0.0001122055258345536,1.554319771402123e-07,5.6061554084049855e-08,0.00012520654251609224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6gzcnf,VBassmeister,,-8.447361136311518e-07,1.1959410904704883e-06,-1.5698190310566759e-07,-1.9336710191723304e-07,-2.897332836338153e-07,4.562569518399363e-08,-3.1770328289485845e-06,-0.0001121448156720959,1.0113308432975444e-07,7.866489733812226e-08,7.862968004663013e-08,8.855989767479426e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6gzcnf,panic_bread,,-9.746512349571342e-07,1.460798441667124e-06,-2.0078689396184235e-07,-2.4675483111884355e-07,-3.611982584441442e-07,5.8727265289903924e-08,-3.3750064170425517e-06,-0.00011220552682525471,1.5543418086948647e-07,5.606239723134344e-08,5.6037296588358187e-08,1.1111896108446877e-07,0.0001252064816805849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6gzcnf,Reason-and-rhyme,,-8.447339495333153e-07,1.1959423586130716e-06,-1.5698190498966974e-07,-1.9336710191723304e-07,-2.8973265652873013e-07,4.5625694936475745e-08,-3.1770333556797382e-06,-0.00011214481369069372,1.0113308532319855e-07,7.866578628370959e-08,7.863056859427787e-08,9.139041554946324e-08,7.851453441859183e-08,8.85598157147465e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
